iter	Passed	Remaining
593	14226	9723
594	14250	9700
595	14276	9677
596	14279	9639
597	14304	9616
598	14329	9593
599	14354	9569
600	14379	9546
601	14405	9523
602	14431	9501
603	14436	9464
604	14461	9441
605	14486	9418
606	14487	9379
607	14512	9356
608	14536	9332
609	14541	9297
610	14565	9273
611	14570	9237
612	14594	9213
613	14617	9189
614	14642	9166
615	14667	9143
616	14691	9119
617	14716	9096
618	14741	9073
619	14766	9050
620	14793	9028
621	14819	9005
622	14819	8968
623	14846	8945
624	14871	8922
625	14895	8899
626	14920	8876
627	14932	8845
628	14957	8822
629	14960	8786
630	14985	8763
631	15011	8740
632	15037	8718
633	15062	8695
634	15086	8671
635	15110	8648
636	15134	8624
637	15158	8601
638	15183	8577
639	15208	8554
640	15233	8531
641	15258	8508
642	15270	8478
643	15296	8455
644	15321	8432
645	15333	8402
646	15345	8372
647	15370	8349
648	15395	8326
649	15419	8303
650	15444	8279
651	15469	8256
652	15494	8233
653	15496	8198
654	15521	8175
655	15546	8152
656	15546	8116
657	15548	8081
658	15560	8051
659	15563	8017
660	15588	7994
661	15612	7971
662	15636	7948
663	15660	7924
664	15684	7901
665	15709	7878
666	15735	7855
667	15759	7832
668	15783	7809
669	15809	7786
670	15834	7763
671	15859	7741
672	15883	7717
673	15908	7694
674	15933	7671
675	15934	7637
676	15960	7614
677	15962	7581
678	15963	7547
679	15991	7525
680	16017	7502
681	16041	7479
682	16066	7457
683	16090	7433
684	16096	7401
685	16119	7378
686	16144	7355
687	16169	7332
688	16194	7309
689	16221	7287
690	16246	7265
691	16273	7242
692	16299	7220
693	16325	7198
694	16351	7175
695	16377	7153
696	16403	7131
697	16429	7108
698	16455	7085
699	16481	7063
700	16506	7040
701	16531	7017
702	16557	6995
703	16582	6972
704	16583	6939
705	16608	6916
706	16634	6893
707	16659	6871
708	16685	6848
709	16710	6825
710	16737	6803
711	16763	6780
712	16789	6758
713	16815	6735
714	16840	6712
715	16841	6680
716	16868	6658
717	16881	6630
718	16907	6607
719	16932	6584
720	16958	6562
721	16983	6539
722	17009	6516
723	17035	6494
724	17062	6471
725	17088	6449
726	17112	6426
727	17113	6394
728	17138	6371
729	17163	6347
730	17163	6316
731	17164	6284
732	17189	6261
733	17215	6238
734	17242	6216
735	17267	6193
736	17292	6170
737	17295	6140
738	17320	6117
739	17346	6094
740	17371	6071
741	17396	6049
742	17422	6026
743	17446	6003
744	17452	5973
745	17477	5950
746	17484	5921
747	17509	5898
748	17533	5875
749	17557	5852
750	17584	5830
751	17610	5807
752	17611	5777
753	17635	5753
754	17641	5724
755	17665	5701
756	17690	5678
757	17714	5655
758	17739	5632
759	17764	5609
760	17788	5586
761	17813	5563
762	17838	5540
763	17863	5517
764	17888	5495
765	17914	5472
766	17916	5442
767	17942	5420
768	17968	5397
769	17994	5374
770	18020	5352
771	18023	5322
772	18049	5300
773	18074	5277
774	18100	5255
775	18126	5232
776	18152	5209
777	18178	5187
778	18205	5164
779	18231	5142
780	18257	5119
781	18282	5096
782	18309	5074
783	18335	5051
784	18362	5029
785	18389	5006
786	18416	4984
787	18443	4961
788	18470	4939
789	18496	4916
790	18497	4887
791	18497	4857
792	18524	4835
793	18551	4813
794	18578	4790
795	18605	4768
796	18632	4745
797	18659	4723
798	18686	4700
799	18689	4672
800	18716	4649
801	18742	4627
802	18769	4604
803	18796	4582
804	18822	4559
805	18850	4537
806	18877	4514
807	18906	4492
808	18935	4470
809	18936	4441
810	18964	4419
811	18992	4397
812	18995	4369
813	19024	4347
814	19052	4324
815	19082	4302
816	19109	4280
817	19136	4257
818	19165	4235
819	19192	4213
820	19220	4190
821	19247	4167
822	19275	4145
823	19303	4123
824	19309	4096
825	19337	4073
826	19365	4051
827	19395	4028
828	19408	4003
829	19436	3980
830	19464	3958
831	19493	3936
832	19521	3913
833	19524	3886
834	19552	3863
835	19580	3841
836	19608	3818
837	19636	3796
838	19664	3773
839	19692	3751
840	19720	3728
841	19749	3705
842	19752	3678
843	19781	3656
844	19809	3633
845	19837	3611
846	19865	3588
847	19894	3565
848	19921	3543
849	19948	3520
850	19976	3497
851	20004	3474
852	20031	3452
853	20032	3424
854	20059	3401
855	20087	3379
856	20114	3356
857	20141	3333
858	20168	3310
859	20194	3287
860	20221	3264
861	20248	3241
862	20274	3218
863	20301	3195
864	20327	3172
865	20354	3149
866	20381	3126
867	20407	3103
868	20435	3080
869	20450	3055
870	20476	3032
871	20502	3009
872	20529	2986
873	20556	2963
874	20584	2940
875	20609	2917
876	20622	2892
877	20649	2869
878	20650	2842
879	20676	2819
880	20681	2793
881	20707	2770
882	20719	2745
883	20745	2722
884	20772	2699
885	20798	2676
886	20826	2653
887	20832	2627
888	20861	2604
889	20862	2578
890	20888	2555
891	20915	2532
892	20941	2509
893	20968	2486
894	20994	2463
895	21021	2440
896	21049	2417
897	21076	2393
898	21103	2370
899	21116	2346
900	21143	2323
901	21170	2300
902	21196	2276
903	21222	2253
904	21247	2230
905	21274	2207
906	21301	2184
907	21328	2161
908	21355	2137
909	21381	2114
910	21408	2091
911	21434	2068
912	21461	2045
913	21488	2021
914	21517	1998
915	21531	1974
916	21559	1951
917	21586	1928
918	21612	1904
919	21639	1881
920	21666	1858
921	21692	1835
922	21719	1811
923	21746	1788
924	21774	1765
925	21801	1742
926	21828	1718
927	21855	1695
928	21882	1672
929	21908	1649
930	21935	1625
931	21961	1602
932	21988	1579
933	22015	1555
934	22044	1532
935	22072	1509
936	22099	1485
937	22125	1462
938	22151	1439
939	22179	1415
940	22206	1392
941	22232	1368
942	22245	1344
943	22257	1320
944	22282	1296
945	22308	1273
946	22334	1249
947	22361	1226
948	22388	1203
949	22402	1179
950	22430	1155
951	22457	1132
952	22484	1108
953	22511	1085
954	22539	1062
955	22567	1038
956	22595	1015
957	22622	991
958	22649	968
959	22675	944
960	22702	921
961	22728	897
962	22755	874
963	22768	850
964	22796	826
965	22824	803
966	22852	779
967	22879	756
968	22905	732
969	22932	709
970	22959	685
971	22985	662
972	23012	638
973	23040	615
974	23045	590
975	23072	567
976	23074	543
977	23099	519
978	23125	496
979	23151	472
980	23177	448
981	23203	425
982	23229	401
983	23255	378
984	23282	354
985	23295	330
986	23320	307
987	23346	283
988	23371	259
989	23397	236
990	23424	212
991	23451	189
992	23452	165
993	23480	141
994	23507	118
995	23507	94
996	23534	70
997	23561	47
998	23562	23
999	23589	0
